"module","genotype","basal","TNF12h","delta"
"DDR","WT",-0.0364074741993577,0.420351245873343,0.456758720072701
"DDR","PPM1D_KO",-0.12092209437331,0.280236755183954,0.401158849557264
"DDR","PPM1B_KO",-0.220369159942991,0.305540763569938,0.525909923512929
"SASP","WT",-0.220255657435617,0.465284700972222,0.68554035840784
"SASP","PPM1D_KO",-0.403983943408946,1.44639619396749,1.85038013737643
"SASP","PPM1B_KO",-0.139901384023934,0.0551853517693152,0.195086735793249
"Sen_Core","WT",0.0275707916882133,0.005945225556572,-0.0216255661316413
"Sen_Core","PPM1D_KO",-0.212579156381287,0.445385102842623,0.65796425922391
"Sen_Core","PPM1B_KO",-0.102797160525531,-0.191148789968805,-0.0883516294432743
"Sen_OIS","WT",-0.287039677708734,0.394955892344167,0.681995570052901
"Sen_OIS","PPM1D_KO",-0.326594469554201,1.02232768886543,1.34892215841963
"Sen_OIS","PPM1B_KO",-0.268454364152676,0.224968475804261,0.493422839956938
"Sen_Mito","WT",0.257345915387008,-0.41611076163849,-0.673456677025497
"Sen_Mito","PPM1D_KO",-0.19125317997053,-0.199713767064903,-0.00846058709437364
"Sen_Mito","PPM1B_KO",0.084295235584959,-0.64919051079997,-0.733485746384929
"Inflammaging","WT",-0.0680698280758738,0.803941643048463,0.872011471124337
"Inflammaging","PPM1D_KO",-0.262669332202906,0.988767700065883,1.25143703226879
"Inflammaging","PPM1B_KO",-0.329556701266812,0.421471029170494,0.751027730437305
"cGAS_STING","WT",0.569638720082426,-0.175396868565932,-0.745035588648359
"cGAS_STING","PPM1D_KO",-0.398567044558549,0.457024277883742,0.85559132244229
"cGAS_STING","PPM1B_KO",-0.242057497129267,-0.349278983901977,-0.107221486772709
"RhoActivity","WT",0.0182664123952491,-0.080087286757262,-0.0983536991525111
"RhoActivity","PPM1D_KO",-0.0491547194551273,0.000540917540584796,0.0496956369957121
"RhoActivity","PPM1B_KO",0.0549789149296536,-0.308089926635139,-0.363068841564793
"Mito_Stress","WT",0.12609891711373,-0.753753972774023,-0.879852889887753
"Mito_Stress","PPM1D_KO",0.21585364627407,-0.775261405434453,-0.991115051708522
"Mito_Stress","PPM1B_KO",0.313138219492735,-0.79200562417402,-1.10514384366676
"Tysh_DNAmAge","WT",0.102556274522332,0.057148886461462,-0.0454073880608699
"Tysh_DNAmAge","PPM1D_KO",-0.104340016178423,-0.236504510360806,-0.132164494182383
"Tysh_DNAmAge","PPM1B_KO",0.0174915468758411,0.291332508904658,0.273840962028817
"Tysh_LongevityUp","WT",0.0348150633195587,-0.1360377304854,-0.170852793804958
"Tysh_LongevityUp","PPM1D_KO",0.113372041232383,-0.155968759652202,-0.269340800884585
"Tysh_LongevityUp","PPM1B_KO",0.310565175684789,-0.129276706382853,-0.439841882067642
