"gene","class","log2FoldChange_genotype_PPM1D_KO_vs_WT","log2FoldChange_genotype_PPM1B_KO_vs_WT","log2FoldChange_genotype_DKO_vs_WT","padj_genotype_PPM1D_KO_vs_WT","padj_genotype_PPM1B_KO_vs_WT","padj_genotype_DKO_vs_WT","sig_genotype_PPM1D_KO_vs_WT","sig_genotype_PPM1B_KO_vs_WT","sig_genotype_DKO_vs_WT"
"Acp1","ACP/ALP",-0.303322776572993,0.124716564344951,0.230511226421848,0.0631745426333063,0.999999972400712,0.279016535351319,"NS","NS","NS"
"Acp2","ACP/ALP",0.689071052868169,-0.0147968289456394,0.274033572455411,0.0328989927777344,0.999999972400712,0.585674916851894,"NS","NS","NS"
"Acp5","ACP/ALP",2.18762517071316,0.289505059128118,3.34577268499183,0.00783562822414275,0.999999972400712,0.000122602335962276,"Up","NS","Up"
"Dusp1","DUSP",-0.107713491009779,-0.286050721857134,-0.026183609310299,0.824918110568588,0.999999972400712,0.972256431601079,"NS","NS","NS"
"Dusp10","DUSP",-0.921997003513397,-0.337034563004126,-0.0931089962313252,0.0506335287384178,0.999999972400712,0.906579239653623,"NS","NS","NS"
"Dusp16","DUSP",1.18259153765664,-0.131789701737402,0.550197215870917,0.000143175562153769,0.999999972400712,0.20919932380272,"Up","NS","NS"
"Dusp4","DUSP",2.25552139491036,0.732266558441829,0.707340702017366,5.07363629837885e-08,0.811883008517492,0.234766480972679,"Up","NS","NS"
"Dusp6","DUSP",-1.12553057762409,0.302562993629952,0.432959618537863,0.00198396369606332,0.999999972400712,0.334009887389544,"Down","NS","NS"
"Ppm1a","PPM/PP2C",0.285164506712194,0.0494836542061735,-0.0260673772642383,0.121859284246888,0.999999972400712,0.940264417906239,"NS","NS","NS"
"Ppm1b","PPM/PP2C",-0.169680881192025,-0.0557246934697363,-0.0927188998193316,0.425905071511968,0.999999972400712,0.7701871560796,"NS","NS","NS"
"Ppm1d","PPM/PP2C",-1.93763376616002,-0.120797880769099,-2.33064484933734,1.62837278263181e-11,0.999999972400712,2.66222948313816e-10,"Down","NS","Down"
"Ppm1f","PPM/PP2C",-0.661291411912603,0.126869930386088,-0.355982941969172,0.00173357844401763,0.999999972400712,0.204236056944668,"NS","NS","NS"
"Ppm1g","PPM/PP2C",-0.618147010256621,-0.0583850693612293,0.159460559892673,7.3524340777431e-05,0.999999972400712,0.499723891425772,"NS","NS","NS"
"Ppm1h","PPM/PP2C",1.06356528325404,0.21681156867163,-0.624490628740302,0.000448947835834194,0.999999972400712,0.184185948290211,"Up","NS","NS"
"Ppp1ca","PPP",-0.0137287237733069,0.15487437657353,1.1343089947014,0.941364144846144,0.999999972400712,1.09910924188591e-15,"NS","NS","Up"
"Ppp1cb","PPP",0.0215470014103907,0.125841028394923,0.172816643974516,0.897484627141158,0.999999972400712,0.330745019827122,"NS","NS","NS"
"Ppp1cc","PPP",-0.156435272355154,0.0338959382768115,0.166971748611741,0.317948671149665,0.999999972400712,0.413206288265784,"NS","NS","NS"
"Ppp2ca","PPP",0.00510874296700239,0.17066408673041,0.227938210649901,0.973420790108958,0.919722261925286,0.109787240024868,"NS","NS","NS"
"Ppp2cb","PPP",-0.155860701772352,0.340798955098143,0.102547652845305,0.424837209433989,0.528974481999932,0.716557283673816,"NS","NS","NS"
"Ppp3ca","PPP",1.36795668220352,0.0973754791219671,0.477955106466523,2.53719701659162e-20,0.999999972400712,0.015677431743328,"Up","NS","NS"
"Ppp3cb","PPP",0.0323246921244466,-0.180862770450557,0.050325523922496,0.87639992819504,0.999999972400712,0.860621122695952,"NS","NS","NS"
"Pten","PTEN",1.20213034522993,-0.0503541265664363,0.740007709899018,1.31290501324568e-12,0.999999972400712,0.000467654266562013,"Up","NS","NS"
"Ptpn1","PTPN (non-receptor)",-0.219845659367096,-0.028314203839613,0.288927271610581,0.222436511937624,0.999999972400712,0.17839919485343,"NS","NS","NS"
"Ptpn11","PTPN (non-receptor)",-0.170577994855915,-0.157701929415005,0.122131762487557,0.293406584082654,0.999999972400712,0.590683776558029,"NS","NS","NS"
"Ptpn12","PTPN (non-receptor)",0.456149117387789,-0.0692625727432889,0.329123678329462,0.0179797028460939,0.999999972400712,0.198936623571927,"NS","NS","NS"
"Ptpn14","PTPN (non-receptor)",0.393914327704944,-0.184678636478346,0.173648214553668,0.102671246576355,0.999999972400712,0.638003169694852,"NS","NS","NS"
"Ptpn2","PTPN (non-receptor)",-0.296074546390547,-0.00227005670023872,-0.428712309663844,0.148075552946551,0.999999972400712,0.0870440863640933,"NS","NS","NS"
"Ptpn21","PTPN (non-receptor)",1.29602632426957,0.118239225442633,-0.106520204276199,1.78106096162383e-09,0.999999972400712,0.800150212377377,"Up","NS","NS"
"Ptpn23","PTPN (non-receptor)",1.26902255808145,0.0229612488279172,0.197939473578929,1.93051745242691e-11,0.999999972400712,0.527978229705728,"Up","NS","NS"
"Ptpn3","PTPN (non-receptor)",0.0746390414600204,-0.190822083955347,-0.328325598574279,0.864380060910616,0.999999972400712,0.534670200141271,"NS","NS","NS"
"Ptpn4","PTPN (non-receptor)",0.573941253780373,-0.536382130211789,-0.16745656559984,0.0304271164382005,0.601310997855941,0.707526345299294,"NS","NS","NS"
"Ptpn9","PTPN (non-receptor)",1.70587737245063e-07,0.160464837939505,0.241660914909334,0.999999667617197,0.999999972400712,0.580248445713859,"NS","NS","NS"
"Ptpra","PTPR (receptor)",-0.0748538804258738,-0.15681397025538,0.0280924195505313,0.76190153804923,0.999999972400712,0.942897575179811,"NS","NS","NS"
"Ptpre","PTPR (receptor)",-0.717600053331247,0.258152364437782,0.00486594229307693,0.0199507832275535,0.999999972400712,0.992585054894519,"NS","NS","NS"
"Ptprg","PTPR (receptor)",0.819918544862717,-0.106915011159478,0.336575041467141,0.00749051417130217,0.999999972400712,0.464578403346034,"NS","NS","NS"
"Ptprj","PTPR (receptor)",-0.237038946177552,0.0430689536478193,0.34792351350017,0.573367227365414,0.999999972400712,0.497974473322388,"NS","NS","NS"
"Ptprk","PTPR (receptor)",-0.521197787656953,-0.136662384245274,-0.556331318723779,0.0191252203478819,0.999999972400712,0.043737682928454,"NS","NS","NS"
"Ptprm","PTPR (receptor)",1.8677848571515,0.232834258605642,0.796837114729048,2.24134758632978e-13,0.999999972400712,0.0192674253197256,"Up","NS","NS"
"Ptprn","PTPR (receptor)",0.350497555211218,-0.514572735232881,1.39231754928415,0.619164291814945,0.999999972400712,0.0489981322129253,"NS","NS","Up"
"Ptprq","PTPR (receptor)",0.639002460271738,-0.239006986696615,1.1808962104421,0.0337780896114963,0.999999972400712,0.000300386963669065,"NS","NS","Up"
"Ptprs","PTPR (receptor)",0.941051308345535,-0.0339052119904267,-0.125210117152756,7.13336677697175e-07,0.999999972400712,0.704660556467163,"NS","NS","NS"
"Ptprt","PTPR (receptor)",-3.45943108139177,-0.241200059564832,-4.58073692710482,5.18417683996678e-34,0.999999972400712,3.07392541047446e-27,"Down","NS","Down"
"Ptpru","PTPR (receptor)",-0.881354133943576,1.19344503559535e-06,-3.54431515425419,0.228992781292881,0.999999972400712,0.0128705289496833,"NS","NS","Down"
"Ssh1","Slingshot",-0.281412716634279,-0.184839461023537,0.656221358917138,0.437673839571806,0.999999972400712,0.0902124483926753,"NS","NS","NS"
"Ssh2","Slingshot",-0.0271359218654457,-0.330916659239708,-0.479167602820322,0.945759803264267,0.999999972400712,0.247957905694166,"NS","NS","NS"
