"gene","class","contrast","log2FoldChange","padj","sig"
"Acp5","ACP/ALP","genotype_DKO_vs_WT",3.34577268499183,0.000122602335962276,"Up"
"Acp5","ACP/ALP","genotype_PPM1D_KO_vs_WT",2.18762517071316,0.00783562822414275,"Up"
"Dusp4","DUSP","genotype_PPM1D_KO_vs_WT",2.25552139491036,5.07363629837885e-08,"Up"
"Dusp16","DUSP","genotype_PPM1D_KO_vs_WT",1.18259153765664,0.000143175562153769,"Up"
"Dusp6","DUSP","genotype_PPM1D_KO_vs_WT",-1.12553057762409,0.00198396369606332,"Down"
"Ppm1d","PPM/PP2C","genotype_DKO_vs_WT",-2.33064484933734,2.66222948313816e-10,"Down"
"Ppm1d","PPM/PP2C","genotype_PPM1D_KO_vs_WT",-1.93763376616002,1.62837278263181e-11,"Down"
"Ppm1h","PPM/PP2C","genotype_PPM1D_KO_vs_WT",1.06356528325404,0.000448947835834194,"Up"
"Ppp1ca","PPP","genotype_DKO_vs_WT",1.1343089947014,1.09910924188591e-15,"Up"
"Ppp3ca","PPP","genotype_PPM1D_KO_vs_WT",1.36795668220352,2.53719701659162e-20,"Up"
"Pten","PTEN","genotype_PPM1D_KO_vs_WT",1.20213034522993,1.31290501324568e-12,"Up"
"Ptpn23","PTPN (non-receptor)","genotype_PPM1D_KO_vs_WT",1.26902255808145,1.93051745242691e-11,"Up"
"Ptpn21","PTPN (non-receptor)","genotype_PPM1D_KO_vs_WT",1.29602632426957,1.78106096162383e-09,"Up"
"Ptprt","PTPR (receptor)","genotype_DKO_vs_WT",-4.58073692710482,3.07392541047446e-27,"Down"
"Ptprq","PTPR (receptor)","genotype_DKO_vs_WT",1.1808962104421,0.000300386963669065,"Up"
"Ptpru","PTPR (receptor)","genotype_DKO_vs_WT",-3.54431515425419,0.0128705289496833,"Down"
"Ptprn","PTPR (receptor)","genotype_DKO_vs_WT",1.39231754928415,0.0489981322129253,"Up"
"Ptprt","PTPR (receptor)","genotype_PPM1D_KO_vs_WT",-3.45943108139177,5.18417683996678e-34,"Down"
"Ptprm","PTPR (receptor)","genotype_PPM1D_KO_vs_WT",1.8677848571515,2.24134758632978e-13,"Up"
